CODIGO_UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,CODIGO_CIUDAD,SERVICIO,AEREO PROPUESTO,TERRESTRE PROPUESTO,A TRAVÉS DE,OBSERVACION
10511,AMAZONAS,LUYA,MARIA,PEAZN,DIST. NACIONAL,-,5,LIM - JAE - CHA,ALEJADO
10607,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,PEAZN,DIST. NACIONAL,-,4,LIM - JAE - CHA,ALEJADO
10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,PEAZN,DIST. NACIONAL,-,8,LIM - JAE - CHA,ALEJADO
10608,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,PEAZN,DIST. NACIONAL,-,4,LIM - JAE - CHA,ALEJADO
10114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,PEAZN,DIST. NACIONAL,-,8,LIM - HUU,ALEJADO
10115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,PEAZN,DIST. NACIONAL,-,8,LIM - PIU,ALEJADO
10401,AMAZONAS,CONDORCANQUI,NIEVA,PEAZN,DIST. NACIONAL,-,8,LIM - CJA,ALEJADO
10512,AMAZONAS,LUYA,OCALLI,PEAZN,DIST. NACIONAL,-,5,LIM - HUU,ALEJADO
10513,AMAZONAS,LUYA,OCUMAL,PEAZN,DIST. NACIONAL,-,5,LIM - ICA,ALEJADO
10116,AMAZONAS,CHACHAPOYAS,OLLEROS,PEAZN,DIST. NACIONAL,-,8,LIM - JUL,ALEJADO
10609,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,PEAZN,DIST. NACIONAL,-,4,LIM - TCQ - MQG,ALEJADO
10514,AMAZONAS,LUYA,PISUQUIA,PEAZN,DIST. NACIONAL,-,5,LIM - TPP,ALEJADO
10515,AMAZONAS,LUYA,PROVIDENCIA,PEAZN,DIST. NACIONAL,-,5,LIM - AND,ALEJADO
10117,AMAZONAS,CHACHAPOYAS,QUINJALCA,PEAZN,DIST. NACIONAL,-,8,LIM - TCQ - MQG,ALEJADO
10308,AMAZONAS,BONGARA,RECTA,PEAZN,DIST. NACIONAL,-,5,LIM - JAE - BGR,ALEJADO
