CODIGO_UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,CODIGO_CIUDAD,SERVICIO,AEREO PROPUESTO,TERRESTRE PROPUESTO,OBSERVACION,tiempo_24,tiempo_72,tiempo_72_mas
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
010401,AMAZONAS,CONDORCANQUI,NIEVA,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
010512,AMAZONAS,LUYA,OCALLI,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010513,AMAZONAS,LUYA,OCUMAL,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
010609,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
010514,AMAZONAS,LUYA,PISUQUIA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010515,AMAZONAS,LUYA,PROVIDENCIA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
010308,AMAZONAS,BONGARA,RECTA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO ,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
010309,AMAZONAS,BONGARA,SAN CARLOS,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010516,AMAZONAS,LUYA,SAN CRISTOBAL,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
010517,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
010518,AMAZONAS,LUYA,SAN JERONIMO,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010519,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010601,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
010520,AMAZONAS,LUYA,SANTA CATALINA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010610,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA ,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
010521,AMAZONAS,LUYA,SANTO TOMAS,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010310,AMAZONAS,BONGARA,SHIPASBAMBA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
